topology,n,embedding,success_rate,avg_hops,stretch,gravity_ratio,pressure_ratio,tree_ratio
ba,50,PIE,1.0000,3.02,1.337,0.760,0.240,0.000
ba,50,Random,0.9850,13.63,6.050,0.102,0.303,0.595
ba,50,Ricci-Broken,0.9850,11.35,5.036,0.144,0.334,0.522
ba,50,Ricci-Fixed,0.9750,15.94,7.112,0.080,0.238,0.682
ba,100,PIE,0.9950,7.45,2.828,0.335,0.249,0.416
ba,100,Random,0.9250,41.17,15.768,0.038,0.148,0.815
ba,100,Ricci-Broken,0.9100,44.27,17.036,0.032,0.195,0.772
ba,100,Ricci-Fixed,0.9200,43.01,16.351,0.035,0.183,0.783
ba,200,PIE,0.9900,21.24,7.213,0.115,0.141,0.744
ba,200,Random,0.9550,69.59,23.736,0.023,0.118,0.859
ba,200,Ricci-Broken,0.9300,89.67,30.660,0.017,0.174,0.810
ba,200,Ricci-Fixed,0.9600,66.13,22.473,0.023,0.127,0.849
ba,300,PIE,0.9900,32.43,10.737,0.086,0.087,0.827
ba,300,Random,0.9250,118.83,39.396,0.013,0.105,0.882
ba,300,Ricci-Broken,0.9100,134.20,44.409,0.012,0.070,0.918
ba,300,Ricci-Fixed,0.9250,119.69,39.539,0.011,0.080,0.910
ws,50,PIE,1.0000,4.74,1.572,0.712,0.207,0.081
ws,50,Random,0.9700,19.82,6.586,0.074,0.311,0.614
ws,50,Ricci-Broken,0.9800,19.52,6.483,0.065,0.387,0.548
ws,50,Ricci-Fixed,1.0000,20.73,6.874,0.058,0.286,0.656
ws,100,PIE,1.0000,10.82,2.821,0.340,0.222,0.438
ws,100,Random,1.0000,40.99,10.688,0.037,0.245,0.718
ws,100,Ricci-Broken,1.0000,45.59,11.889,0.028,0.265,0.707
ws,100,Ricci-Fixed,1.0000,44.12,11.506,0.025,0.235,0.740
ws,200,PIE,1.0000,7.79,1.774,0.639,0.164,0.197
ws,200,Random,0.9850,85.19,19.402,0.016,0.150,0.834
ws,200,Ricci-Broken,0.9500,86.59,19.774,0.013,0.175,0.812
ws,200,Ricci-Fixed,0.9450,88.03,20.069,0.013,0.146,0.841
ws,300,PIE,1.0000,18.59,3.677,0.311,0.228,0.461
ws,300,Random,1.0000,145.38,28.761,0.009,0.129,0.862
ws,300,Ricci-Broken,0.9950,156.02,30.863,0.007,0.120,0.873
ws,300,Ricci-Fixed,1.0000,148.75,29.425,0.009,0.110,0.881
grid,50,PIE,1.0000,7.21,1.541,0.572,0.212,0.216
grid,50,Random,0.9450,22.86,5.030,0.061,0.345,0.595
grid,50,Ricci-Broken,0.9050,32.26,7.129,0.016,0.291,0.693
grid,50,Ricci-Fixed,0.9350,32.67,7.105,0.016,0.304,0.680
grid,100,PIE,1.0000,11.37,1.803,0.501,0.326,0.173
grid,100,Random,0.9800,45.89,7.312,0.029,0.219,0.752
grid,100,Ricci-Broken,0.9700,58.22,9.452,0.010,0.248,0.742
grid,100,Ricci-Fixed,0.9550,50.89,8.168,0.022,0.223,0.755
grid,200,PIE,1.0000,38.49,4.184,0.170,0.547,0.283
grid,200,Random,0.8650,96.50,10.552,0.016,0.207,0.777
grid,200,Ricci-Broken,0.9600,121.14,13.133,0.004,0.178,0.818
grid,200,Ricci-Fixed,0.8250,110.65,12.107,0.009,0.145,0.846
grid,300,PIE,1.0000,70.67,6.282,0.092,0.372,0.536
grid,300,Random,0.8950,154.82,13.863,0.009,0.165,0.826
grid,300,Ricci-Broken,0.8300,155.66,13.990,0.003,0.152,0.844
grid,300,Ricci-Fixed,0.8900,148.92,13.706,0.007,0.138,0.855
line,50,PIE,0.9800,27.21,1.650,0.149,0.603,0.248
line,50,Random,0.8900,33.46,1.957,0.033,0.330,0.638
line,50,Ricci-Broken,0.7550,36.32,2.066,0.016,0.341,0.643
line,50,Ricci-Fixed,0.7350,33.15,2.057,0.018,0.426,0.556
line,100,PIE,0.9850,64.39,2.180,0.053,0.565,0.381
line,100,Random,0.7550,51.16,1.719,0.022,0.283,0.694
line,100,Ricci-Broken,0.6450,58.64,2.042,0.009,0.405,0.587
line,100,Ricci-Fixed,0.7000,64.32,1.967,0.008,0.334,0.658
line,200,PIE,0.9600,145.77,2.440,0.010,0.511,0.478
line,200,Random,0.7400,104.49,1.644,0.011,0.238,0.751
line,200,Ricci-Broken,0.6750,102.04,1.520,0.005,0.244,0.751
line,200,Ricci-Fixed,0.7150,109.23,1.736,0.005,0.230,0.766
line,300,PIE,0.9950,237.39,2.512,0.014,0.530,0.456
line,300,Random,0.6950,145.53,1.488,0.009,0.214,0.777
line,300,Ricci-Broken,0.6350,145.37,1.418,0.003,0.215,0.782
line,300,Ricci-Fixed,0.6050,142.41,1.441,0.003,0.153,0.844
lollipop,50,PIE,0.9800,22.79,1.726,0.103,0.635,0.262
lollipop,50,Random,0.9150,31.97,2.438,0.037,0.367,0.596
lollipop,50,Ricci-Broken,0.9750,38.16,2.792,0.020,0.341,0.639
lollipop,50,Ricci-Fixed,0.9150,38.13,2.827,0.025,0.350,0.625
lollipop,100,PIE,0.9350,49.70,2.284,0.038,0.604,0.358
lollipop,100,Random,0.8800,59.14,2.463,0.022,0.369,0.609
lollipop,100,Ricci-Broken,0.9150,69.11,2.912,0.012,0.375,0.613
lollipop,100,Ricci-Fixed,0.8850,74.77,3.101,0.012,0.311,0.677
lollipop,200,PIE,0.9700,105.11,2.333,0.021,0.609,0.370
lollipop,200,Random,0.8850,118.07,2.510,0.010,0.289,0.701
lollipop,200,Ricci-Broken,0.8450,116.08,2.389,0.008,0.360,0.631
lollipop,200,Ricci-Fixed,0.8700,123.32,2.508,0.008,0.359,0.633
lollipop,300,PIE,0.9250,156.31,2.448,0.012,0.588,0.399
lollipop,300,Random,0.8450,177.76,2.413,0.007,0.328,0.665
lollipop,300,Ricci-Broken,0.8400,174.71,2.313,0.005,0.331,0.664
lollipop,300,Ricci-Fixed,0.8200,175.98,2.311,0.005,0.309,0.686
